,Category,Text,Classification
150000,Calunia,@KimKataguiri A seita da CBF tem que ter esperança e continuar acampada.  Parece àquela outra seita que ficava dando bom dia boa tarde e noite para o meliante que derrotou o histórico de atleta. https://t.co/ItUxIlaUde,
150001,Sexismo,pq vc ta mandando mensagem pro meu namorado sua mocreia? um ano ja e você não entendeu que ele não te quis e &gt;&gt;&gt;namora&lt;&lt;&lt;,
150002,Sexismo,Zambelli tentou se infiltrar em evento com ministros do STF em Nova York mas foi barrada por não ter ingresso do evento. Além de pistoleira essa “coisa” é penetra.,
150003,Sexismo,minha cachorra faz a gente passar tanta vergonha  o povo faz uma festa gigante pra ela e ela nao olha nem pra cara da pessoa. tem uma criança querendo brincar com ela e ela simplesmente rejeita a criança   KKKKKKKKKKKKKKKKK,
150004,Xenofobia,"@anitablian Coitado do pastel de ""flango"".",
150005,Xenofobia,@spartazn_cec @ruanfive calado seu branquelo,
150006,Capacitismo,@NataliaSR75 @FRAENKELE Que hermoso campo santo tiene mi Lucy hermosa 😻 Dios y San Lázaro la tengan en un lugar bonito 🙏 gracias por tanto mi señora haberle dado tanto amor a la peque... Saludos🙏🤗,
150007,Capacitismo,E uma potência micropolítica ou molecular que torna o fascismo perigoso porque é um movimento de massa: um corpo canceroso mais do que um organismo totalitário.,
150008,Calunia,【定期】MARGINAL#4 マジフォー(エル)、Code:Realize コドリア(サン/カルディア)、Sweets Blossom スイブロ(氷上京市)、辻咲学園生徒会の秘密(瑳上詠二)、ジュエナイ(アダマス※無限回収中)のグッズを回収しております。 無限ではないのでお断りする場合もございますが気軽にお声かけください！,
150009,Capacitismo,@maralar05 @maesva8 @proceso Y pusieron de presidente a un demente inepto.,
150010,Capacitismo,@FCFSeleccionCol @GolCaracol WILLER DITTA A LA SELECCIÓN,
150011,Capacitismo,@KeptejnAs @SlawomirMentzen Dzieci oto debil patrzcie jaki głupi.,
150012,Homofobia,@MatheusGsus Na epoca namoraca hj em dia nao,
150013,Sexismo,mocreia,
150014,Etnia,@_bubuia Pera mas Criolo falou que não existe amor em SP. Ele estava errado?,
150015,Politica,Nãoele sabe bem o q está falandoencostado no corrupto mor da nação https://t.co/9Nf1ugxr2x,
150016,Homofobia,não consigo dormir tô mt boiola,
150017,Assedio,Oi eu sou Mc pipokinha eu sou safada e tenho piercing na 🐸,
150018,Sexismo,@junngkooka ok sapatao do krl vc so queria 1 mommy p chama d sua,
150019,Capacitismo,... asiente. Está toda apenada-- https://t.co/a6duMzCGOM,
150020,Assedio,@Matheus58489085 Cadê??,
150021,Calunia,Que le den duro a esa ladrona.   Cuando ella sea estafada amigo bueno sea piadoso con las burlas. https://t.co/STxMxgqMC5,
150022,Capacitismo,@soyunamarmota11 @MartaBakmaz @MalenaStein Cerrá la boca estúpida! Seguro sos una de esas abortistas mata niños con uds jamás tendría empatía no la merecen homicidas!,
150023,Capacitismo,@NMadlun Sim e cade a porra do audio me contando o q rolou ontem?,
150024,Sexismo,@modesteira a maior cadelona!!!!,
150025,Capacitismo,@lubarcelosh @favelanewsofc1 @alinebarceloos Espírito da morte doido pra matar a olhota do seu ânus o mlq tá loucão de crack e vc aí loucona de côco na cabeça .,
150026,Capacitismo,@SurrogateBrasil MTO EU MDS ai to mt doida pra ter esse livro em mãos 😭😭😭😭😭😭,
150027,Capacitismo,@dnfgacha @3racheraaa_ no la trates de estupida de mierda . nadie te doy ese derecho,
150028,Calunia,@Pcthemust @svrfactante 3 anos? Que cornao. Nao gostas vende a casa. Bj,
150029,Homofobia,@M4RKFAIRYS viadao ein thales caralho @pvd_urzelin,
150030,Xenofobia,@ZaineApenas 😍😘☕🌹,
150031,Capacitismo,@estarc62 Demente homofobo https://t.co/KGPbsgtnAa,
150032,Capacitismo,@SC_ESPN Que hace ahí el burro horrible espantoso tuberculoso y zoofilico de Erbín?,
150033,Capacitismo,Queria dormir mas estou tossindo feito um tuberculoso,
150034,Capacitismo,Ahora todo el mundo defiende a Maluma jaajajajaajaj. ¡Twitter demente!,
150035,Capacitismo,@Carleta_perneta ixi abri 15 vezes sem querer 😳,
150036,Capacitismo,@biazitagomes 🤣🤣🤣🤣🤣🤣 UMA DEBILOIDE!,
150037,Homofobia,@lenattriste ué bicha vc já não sabia ?,
150038,Xenofobia,“não gosto se loiros”  also eu cadelando qualquer loiro branquelo,
150039,Sexismo,onde estão os correspondentes choquei da linha 1 azul?,
150040,Capacitismo,@jander_caua Já tentou olhar nos arquivos para ver se você acha algo?,
150041,Politica,@MariaEd74444793 @NugoliDF E se jogar uma mala de dinheiro de desvios de verba pública você pega e sai correndo porque para quem apoia bandido corrupto e conivente com o crime 🥱,
150042,Calunia,@LulaOficial Velho safado vagabundo ladrão as pessoas saíram do Brasil por causa do seu imundo desgoverno só soube roubar ento não tinha como viver em um país com vc no governo velho marginal,
150043,Sexismo,@tais_negrao @LulaOficial Eu como Catolico de maneira alguma votaria em Bolsonaro ele trai os principios basicos do Cristianismo e tudo que jesus pregou. Jesus morreu torturado Bolsonaro diz apoiar tortura Jesus salvou um bandido e uma prostituta Bolsonaro diz estes deveriam ser exterminados etc..,
150044,Homofobia,@ariellediasbr Viado,
150045,Sexismo,@RusBotschaft Váyanse a la real meretriz progenitora que los concibió,
150046,Aparencia,3 pessoas visualizaram seu perfil agora https://t.co/lO9wzhIOV6,
150047,Sexismo,@_nanamv Tá bem baitola esses dias oh,
150048,Aparencia,@bybeomwoo @XiroKK FEIOZA CIRO MUDE AGORA,
150049,Capacitismo,@Fran_Guerrero82 @sanchezcastejon Me han descontado... ¿sabes quién paga ese descuento? TODOS con nuestros impuestos. O haces propaganda fácil para borregos o eres lerdo (o los dos).,
150050,Homofobia,@iformagnus ?,
150051,Etnia,@roxmo O samba do crioulo doido!,
150052,Homofobia,O ARROMBADO DO MARK COMPROU O TWITTER CARA A UNICA REDE SOCIAL QUE EU REALMENTE COMPRO AQUELE ARREGASSADO COMPROU PUTA QUE PARIU,
150053,Homofobia,@gab50020722 @shitpourra Viadao,
150054,Sexismo,cade a bunda muié https://t.co/RFlQmb1nbN,
150055,Etnia,@Rui26690422 @manjos @miguelcvisao Quando for assaltado ou o cu lhe começar apertar aí já vai querer que a polícia o acuda. Aqui o senhor só sabe falar mal e denegrir a imagem de mais de 40000 polícias.,
150056,Aparencia,@oscarzin_ @Tristemulheres OLHA AS TUAS MENTIONS SEU FEIOSO,
150057,Sexismo,🚨🚨Como traveco a domicílio,
150058,Capacitismo,quero ver a ana beatriz e a maria julia aqui https://t.co/oaNq3zSqTt,
150059,Capacitismo,@NoVa72_ @7ujnn 😂😂😂😂chico eres anormal?,
150060,Xenofobia,"Só agora percebi que ""Judiar"" é parecido com ""Judeu"".",
150061,Xenofobia,@LOrangeMusic Oddisee is 40?? Would’ve never guessed.,
150062,Capacitismo,@gugustavo6 Vsf pq eu tava sem óculos vei pareço um doido mas amei a foto 🥺🥺,
150063,Capacitismo,¿Ya podemos diagnosticar a @VicenteFoxQue como #DebilMental #Imb3cil o al menos MUY #Brut0? https://t.co/BQQZe5tKye,
150064,Capacitismo,Toda vez que tem jogo do flamengo é um inferno com negócio de fogos aqui nesse rio da prata 1 hr da manhã e essas praga perturbando ngm merece tinha q botar a bomba na olhota do cu deles se fuder pra la… 🤯🤬,
150065,Xenofobia,@SigaGazetaBR É um parasita pseudo juiz xingling ditaDor tiranete,
150066,Capacitismo,@frasesbroxada @magalzaoshow @notvinicin @gtotoro_ @ronaldrios DOIS obesos mórbidos nojentos e DOIS homens que exalam fracasso querendo ensinar ética e moral para um maluco que aparenta ter METADE da idade deles mas que conquistou mais do que TODA a descendência deles irá sonhar em conquistar.,
150067,Homofobia,@RobsonSchultzz @iMahxy @vdaenrys olha o viadao do ragnar no seu icon se toca,
150068,Etnia,oi moço que tava na Pampulha em frente a um restaurante com uma blusa azul do Brasil de calça jeans e tênis preto casa cmg vida 😍🥰😘🤩😝,
150069,Capacitismo,Y un audio de cwn y mr moderno por la noche hablando que haran en vacaciones y dormir despues re-soft mori apenada por que wanning suena retierno.,
150070,Aparencia,@AdrianaAmaralD6 @elakhra1 @AugustoNPistola Vc beija o que vc quiser imbecil Difícil é alguém te querer baranga Esquerdistas são todos esquisitos oh gente pra ser feia e vulgar,
150071,Homofobia,@haseuldalui bicha o que tu fez dessa vez (?),
150072,Xenofobia,Gente! o tanto que achei essas cenas semelhantes. ❤️ Aurieta e Euleta são tudo.   • O jeito que seguram as mãos.  • Os vestidos sendos abertos.  • Os olhares inseguros delas e respeitosos deles.  •As palavras de carinhos que eles usam para elas.  Me segura. 🥹🤏🏻🤍 https://t.co/5UViprl8PY,
150073,Calunia,@RicardoS2019 @rtve @populares @PPdeSevilla @ppandaluz @nnggsevilla @NNGGAndalucia @arepullomilla @eliasbendodo @JuanMa_Moreno @NunezFeijoo @cucagamarra te recuerdo giliPPollas que Canal Sur tambien la pagamos otros y solo haceis publicidad de los malNAZIdos hasta robasteis 11 millones del Covid para pagar a vuestros PPerros en CanalSur. asi que LADRA menos,
150074,Sexismo,eu aguento a mika baitola pelo edward desde os primórdios https://t.co/HLLirgW4JR,
150075,Capacitismo,Através da Maira (Sophie Charlotte) acompanharíamos o desenvolvimento da personagem largada pela mãe Zoé ao descobrir que a filha era cega as dificuldades da Maira como deficiente visual e os laços criados pela criação do pai Rivaldo (Chico Diaz) e da sua madrinha Judite... https://t.co/i8oViIrfa8,
150076,Xenofobia,@NatylBaneado @EIGranPatriarca @DictadoraLoba Te inmagina si los dioses gringos existieran uno sería mitad semi dios,
