,Category,Text,classification
141000,Calunia,"@Juninholima1969 Agora eu sei porque esse corno quer metralhar os petistas, é o corno brabo",0
141001,Religião,@Eu____Sou @DAH1498 @AndreCVentura Que viagem! Não coloque o nome do Senhor no meio dessa nojeira que é o antro de imundície e corrupção do PT! HEREGE!,
141002,Sexismo,olá muito prazer alice machado jurídico grupo mitos,
141003,Capacitismo,@MarcoFloresRiv1 generalizar para apoyar un punto .. es un argumentación debil .. y de la polera de Pinochet .. please ..estamos en Chile!!!,
141004,Xenofobia,@leonrogani Será un hermoso día Robbiewilliamista. https://t.co/VJZGAipCvY,
141005,Homofobia,@playboicarrdi bicha fique na sua,
141006,Calunia,"É so' mandar prender o meliante,  né? https://t.co/rltbudGUt0",
141007,Xenofobia,"Pornographic producers and others really benefit from restricting how degenerate it gets. The more ""normal"" it is, the more they can peddle it as normal and ok. The same goes for all things in this same category.",
141008,Assedio,@choquei puta Que pariu,
141009,Aparencia,@choquei Esse feioso só é branco,
141010,Xenofobia,"@vprfrn Comassim, Jesuisss?!?!
Tá moscando",
141011,Xenofobia,E eu aqui de 0800 po. Veja bem! https://t.co/WvtLLQfjlT,
141012,Xenofobia,"@Julianjull22 @oconalf Mira vos, el francés sentado en su casa mirando Twitter que se indigno por esos cánticos de mierda también colonizó África y mató esclavos? que fácil es armar un argumento bonito si partimos desde la generalización, tal como lo hace el boludo del posteo.",
141013,Capacitismo,pura idiotice 🤦🏽‍♂️,
141014,Capacitismo,3 pessoas visualizaram seu perfil agora https://t.co/mH2Rm3KHjI,
141015,Etnia,"@cegadede @criolomc Perfeito, zero defeitos, quem não entendeu o conceito não entendeu pq não conhece o Criolo 😮‍💨",
141016,Capacitismo,"""Los hombres son estúpidos, solo hay que encontrar al estúpido con el que encajamos más"" (Díaz, 2022)",
141017,Calunia,Não podemos deixar um ladrão assumir a presidência https://t.co/aRWTRSX5g3,
141018,Sexismo,CACHORRA VAGABUNDA PIRANHA PROSTITUTA DESGRAÇADA SALAFRAIA PIRUA CADELA RATAZANA FEDORENTA MENTIROSA RAPARIGA DE ESQUINA PUTA DE BORDEU BARATO JUDAS PRAGA DO EGITO PESTE NEGRA MALDITA PROSTITUTA DE GARIMPO,
141019,Calunia,"@revistaoeste @deltanmd Começou a maquiagem da ladroeira.
Agora eles estao mais sofisticados ainda.
Com auxilio da imprensa marron e do STF....alô Congresso ala do bem.",
141020,Assedio,"Se sente gay? Então passa esse rabão pra cá, careca safado https://t.co/HOjDWtbgsj",
141021,Sexismo,Q sdd de mexer no cabelo daquela mocreia😫,
